Date,Open,High,Low,Close,Volume,Adj Close
2008-09-17,778.85,779.70,752.00,770.00,3303800,374.502
2008-09-16,745.00,785.50,728.55,774.75,6898300,376.812
2008-09-15,764.85,772.70,742.00,765.45,2447700,372.289
2008-09-12,790.00,792.00,744.00,778.70,2219300,378.733
2008-09-11,812.00,812.00,774.10,776.20,2510300,377.517
2008-09-10,827.60,833.00,810.00,811.95,764600,394.905
2008-09-09,813.00,838.85,811.80,836.45,962300,406.821
2008-09-08,819.00,826.80,814.00,819.35,965800,398.504
2008-09-05,817.00,817.00,800.00,804.10,875500,391.087
2008-09-04,834.00,839.75,819.20,826.65,629800,402.054
2008-09-02,823.80,838.95,817.00,834.45,765100,405.848
2008-09-01,830.00,833.00,810.25,816.25,674400,396.996
2008-08-29,815.00,843.00,806.05,837.20,21310700,407.185
2008-08-28,798.80,822.50,798.50,803.65,1061700,390.868
2008-08-27,814.00,818.00,795.00,804.15,598100,391.111
2008-08-26,804.00,813.90,798.15,809.80,227900,393.859
2008-08-25,818.00,824.50,811.25,813.75,342600,395.78
2008-08-22,797.00,815.00,792.00,806.80,372500,392.40
2008-08-21,814.75,816.00,796.75,799.15,510700,388.679
2008-08-20,795.50,819.00,793.00,815.25,908400,396.51
2008-08-19,800.05,801.50,782.55,791.60,1423900,385.007
2008-08-18,818.00,822.95,800.20,808.20,693200,393.081
2008-08-14,822.00,835.35,810.90,819.30,998200,398.479
2008-08-13,820.00,830.00,812.00,821.60,625200,399.598
2008-08-12,854.00,854.00,818.50,822.95,1017800,400.255
2008-08-11,846.00,858.00,842.00,845.45,900000,411.198
2008-08-08,853.00,860.00,832.40,841.70,532400,409.374
2008-08-07,873.10,875.00,831.10,850.15,1644600,413.484
2008-08-06,850.00,886.30,848.00,869.70,2020800,422.992
2008-08-05,822.00,844.75,803.00,839.60,1179200,408.353
2008-08-04,817.30,825.00,806.00,816.15,1185000,396.947
2008-08-01,788.80,823.75,777.10,819.00,1495600,398.334
2008-07-31,810.00,810.00,788.10,799.15,1251200,388.679
2008-07-30,787.95,813.50,785.05,809.95,1359400,393.932
2008-07-29,780.00,785.00,763.50,778.85,879000,378.806
2008-07-28,794.00,801.00,782.65,794.90,697500,386.612
2008-07-25,785.00,818.90,775.25,796.45,1674500,387.366
2008-07-24,836.30,861.00,790.05,797.95,4198500,388.096
2008-07-23,801.00,827.75,785.00,816.00,3272600,396.874
2008-07-22,798.00,799.00,771.50,778.75,1075800,378.757
2008-07-21,810.00,820.00,772.00,798.45,902700,388.339
2008-07-18,750.00,813.00,732.00,802.00,1971100,390.065
2008-07-17,744.00,762.00,740.00,748.85,1473000,364.215
2008-07-16,710.00,736.85,703.00,730.35,1387500,355.217
2008-07-15,731.00,735.00,698.00,709.95,1241700,345.295
2008-07-14,735.00,751.00,732.00,736.85,966000,358.379
2008-07-11,785.00,798.65,737.00,745.00,1842400,362.342
2008-07-10,740.00,758.00,730.10,741.75,1994400,360.762
2008-07-09,719.00,757.00,719.00,747.40,1529600,363.51
2008-07-08,726.65,726.65,695.05,711.90,1080300,346.244
2008-07-07,724.00,754.50,718.10,726.65,662600,353.418
2008-07-04,709.35,725.20,700.00,716.30,823900,348.384
2008-07-03,743.00,743.00,700.00,709.35,2426400,345.004
2008-07-02,707.00,761.90,693.00,744.40,3039600,362.051
2008-07-01,722.00,735.90,688.00,707.20,2168300,343.958
2008-06-30,743.00,749.00,717.20,721.65,529700,350.986
2008-06-27,745.00,753.35,718.70,746.80,2857300,363.218
2008-06-26,775.00,781.00,755.20,767.35,1402100,373.213
2008-06-25,740.00,786.95,732.00,780.00,648700,379.365
2008-06-24,761.00,764.00,742.00,750.60,1065800,365.066
2008-06-23,760.00,770.50,735.00,758.15,2340400,368.738
2008-06-20,810.00,810.00,754.00,766.40,1850200,372.751
2008-06-19,802.00,810.50,795.00,804.70,2184600,391.379
2008-06-18,838.00,839.00,805.00,811.40,1163500,394.637
2008-06-17,838.00,838.00,825.25,833.65,258100,405.459
2008-06-16,821.00,849.00,820.15,839.60,716700,408.353
2008-06-13,821.00,821.00,805.25,813.95,540800,395.877
2008-06-12,798.00,821.85,765.05,819.90,1089100,398.771
2008-06-11,780.00,822.00,775.00,806.90,1105900,392.449
2008-06-10,779.00,788.00,761.15,777.50,1116200,378.149
2008-06-09,775.00,798.85,750.00,780.75,2655300,379.73
2008-06-06,820.00,835.00,798.00,802.05,1711200,390.09
2008-06-05,815.00,829.95,775.35,821.25,2788700,399.428
2008-06-04,840.00,864.00,800.00,809.30,1188100,393.616
2008-06-03,868.65,868.65,834.00,841.35,832500,409.204
2008-06-02,888.00,888.00,865.00,877.70,698900,426.883
2008-05-30,875.00,881.00,855.35,876.45,421100,426.275
2008-05-29,895.00,898.65,844.90,873.00,489200,424.597
2008-05-28,865.00,887.00,860.00,884.60,1069000,430.239
2008-05-27,865.00,871.90,852.35,863.10,1802200,419.782
2008-05-26,839.00,872.00,839.00,863.15,1185500,419.807
2008-05-23,824.00,843.20,820.00,836.80,926300,406.991
2008-05-22,819.00,824.00,810.00,817.60,1223300,397.653
2008-05-21,819.90,826.95,815.30,822.65,709700,400.109
2008-05-20,849.85,849.85,805.80,828.75,1388100,403.076
2008-05-16,860.00,864.00,842.00,851.35,931800,414.067
2008-05-15,854.00,860.00,842.00,856.20,2453000,416.426
2008-05-14,830.00,850.00,817.00,848.40,1127000,412.633
2008-05-13,846.00,846.00,819.00,821.25,1133800,399.428
2008-05-12,840.00,847.00,820.20,838.25,954300,407.696
2008-05-09,828.00,860.00,827.00,842.20,3011300,409.617
2008-05-08,810.00,835.90,805.00,827.60,1551100,402.516
2008-05-07,850.00,855.00,798.00,815.80,4192100,396.777
2008-05-06,900.00,900.00,840.35,846.60,4050200,411.757
2008-05-05,909.00,909.90,886.25,893.85,1014600,434.738
2008-05-02,914.00,919.90,889.15,898.60,2377100,437.048
2008-04-30,925.00,925.00,890.25,898.80,1236900,437.146
2008-04-29,927.00,941.00,900.00,902.00,1434300,438.702
2008-04-28,930.00,950.00,912.20,927.85,2159200,451.274
2008-04-25,850.00,941.90,845.00,925.30,4649900,450.034
2008-04-24,846.00,870.00,834.00,844.20,905100,410.59
2008-04-23,856.00,869.10,839.00,845.55,660700,411.247
2008-04-22,858.00,866.50,845.00,856.30,783400,416.475
2008-04-21,830.00,869.95,830.00,854.20,1389700,415.454
2008-04-17,828.00,828.00,808.00,823.25,1075000,400.401
2008-04-16,817.00,828.00,796.00,806.70,1024300,392.351
2008-04-15,812.00,842.90,790.40,816.65,815600,397.191
2008-04-11,807.60,819.80,799.00,804.20,807700,391.135
2008-04-10,815.00,822.00,790.10,798.70,590600,388.46
2008-04-09,835.00,835.00,812.15,819.95,417300,398.796
2008-04-08,818.40,833.85,797.10,828.60,720500,403.003
2008-04-07,783.85,833.00,777.10,818.40,1036300,398.042
2008-04-04,821.05,828.00,778.25,783.85,1423100,381.238
2008-04-03,829.00,829.00,808.00,821.05,580100,399.331
2008-04-02,824.90,839.00,815.10,824.05,2245600,400.79
2008-04-01,832.05,832.05,798.00,804.65,552900,391.354
2008-03-31,825.00,840.00,810.20,826.10,298900,401.787
2008-03-28,828.00,844.00,806.00,825.70,887400,401.592
2008-03-27,794.00,829.90,780.90,824.65,771900,401.082
2008-03-26,836.00,840.00,795.00,803.10,1169300,390.60
2008-03-25,804.60,845.55,804.60,834.35,754400,405.799
2008-03-24,781.20,806.00,777.00,800.50,569400,389.336
2008-03-19,772.00,795.00,760.60,777.75,946800,378.271
2008-03-18,742.70,776.00,737.00,758.10,1324100,368.714
2008-03-17,743.00,758.00,706.80,742.70,1218300,361.224
2008-03-14,775.00,779.50,742.30,752.95,1265200,366.209
2008-03-13,808.00,808.00,760.05,778.40,425100,378.587
2008-03-12,804.00,825.00,793.70,812.00,548200,394.929
2008-03-11,770.00,793.00,768.50,789.10,470400,383.791
2008-03-10,749.85,826.00,740.00,802.80,920300,390.454
