Date,Open,High,Low,Close,Volume,Diff,Gain,Loss,Avg. Gain,Avg. Loss,RS,1+RS,RSI_day_14,SMA_50,SMA_25
18-Dec-15,746.51,754.13,738.15,739.31,3148743,-7.2,0,-7.2,3.7278571429,-4.7535714286,0.7842223892,1.7842223892,43.9531750045,719.0472,747.8316
17-Dec-15,762.42,762.68,749,749.43,1553418,-12.99,0,-12.99,3.8564285714,-3.8257142857,1.0080283794,2.0080283794,50.1999070198,716.9058,747.2704
16-Dec-15,750,760.59,739.44,758.09,1993251,8.09,8.09,0,3.2792857143,-3.8257142857,0.8571695295,1.8571695295,46.1546194834,714.6528,746.0796
15-Dec-15,753,758.08,743.01,743.4,2666229,-9.6,0,-9.6,3.2792857143,-3.4057142857,0.9628775168,1.9628775168,49.0543861525,712.6142,745.3392
14-Dec-15,741.79,748.73,724.17,747.77,2412497,5.98,5.98,0,2.8521428571,-3.5107142857,0.8124109868,1.8124109868,44.8248765151,710.197,744.7788
11-Dec-15,741.16,745.71,736.75,738.87,2224410,-2.29,0,-2.29,3.5714285714,-3.3471428571,1.0670081093,2.0670081093,51.6208961386,707.6454,744.474
10-Dec-15,752.85,755.85,743.83,749.46,1988380,-3.39,0,-3.39,3.5714285714,-3.1285714286,1.1415525114,2.1415525114,53.304904051,704.8246,743.62
9-Dec-15,759.17,764.23,737,751.61,2699990,-7.56,0,-7.56,4.4585714286,-2.5885714286,1.722406181,2.722406181,63.2677883642,701.6918,742.442
8-Dec-15,757.89,764.8,754.2,762.37,1829475,4.48,4.48,0,4.1385714286,-2.8735714286,1.4402187422,2.4402187422,59.0200672305,698.3422,740.7916
7-Dec-15,767.77,768.73,755.09,763.25,1812314,-4.52,0,-4.52,5.0928571429,-2.5507142857,1.9966395968,2.9966395968,66.6292869827,695.3166,738.694
4-Dec-15,753.1,768.49,750,766.81,2757283,13.71,13.71,0,4.1135714286,-3.42,1.2027986633,2.2027986633,54.6032047029,692.4964,736.6984
3-Dec-15,766.01,769,745.63,752.54,2590641,-13.47,0,-13.47,4.13,-2.4578571429,1.6803254868,2.6803254868,62.6910983411,689.8928,735.1148
2-Dec-15,768.9,775.96,758.96,762.38,2230373,-6.52,0,-6.52,4.34,-1.9921428571,2.1785586232,3.1785586232,68.5391990976,687.099,732.9592
1-Dec-15,747.11,768.95,746.7,767.04,2134621,19.93,19.93,0,3.1964285714,-1.9921428571,1.6045177483,2.6045177483,61.6051762112,684.467,730.7888
30-Nov-15,748.81,754.93,741.27,742.6,2097624,-6.21,0,-6.21,3.1964285714,-1.9278571429,1.6580214894,2.6580214894,62.3780317812,682.2,729.1648
27-Nov-15,748.46,753.41,747.49,750.26,838528,1.8,1.8,0,3.2292857143,-1.9278571429,1.6750648388,2.6750648388,62.617728532,680.0528,725.226
25-Nov-15,748.14,752,746.06,748.15,1122224,0.01,0.01,0,3.3557142857,-1.9278571429,1.7406446832,2.7406446832,63.5122346896,677.8094,721.0044
24-Nov-15,752,755.28,737.63,748.28,2334197,-3.72,0,-3.72,3.7921428571,-1.6621428571,2.2814782982,3.2814782982,69.5259298059,675.5466,717.0844
23-Nov-15,757.45,762.71,751.82,755.98,1415385,-1.47,0,-1.47,4.0278571429,-1.5571428571,2.5866972477,3.5866972477,72.1191968285,672.8918,713.4892
20-Nov-15,746.53,757.92,743,756.6,2213284,10.07,10.07,0,4.0264285714,-1.5571428571,2.5857798165,3.5857798165,72.1120634513,670.2752,709.7132
19-Nov-15,738.74,742,737.43,738.41,1327879,-0.33,0,-0.33,4.0264285714,-1.885,2.1360363774,3.1360363774,68.1126147896,667.934,706.6464
18-Nov-15,727.58,741.41,727,740,1684259,12.42,12.42,0,3.5978571429,-1.885,1.9086775294,2.9086775294,65.6201146433,665.3884,703.0928
17-Nov-15,729.29,731.84,723.03,725.3,1510903,-3.99,0,-3.99,3.9992857143,-1.6,2.4995535714,3.4995535714,71.4249266489,663.1756,700.1728
